0.000000000000000000e+00,3.000000000000000000e+01,3.000000000000000000e+01,3.000000000000000000e+01,3.000000000000000000e+01,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.545937277100413176e+00
1.000100010001000149e-02,3.011153064965408177e+01,3.011131113111311208e+01,3.011153035246188026e+01,3.011153049888131861e+01,3.995932721093908402e+00,3.995879587958795831e+00,3.995932643259412664e+00,3.995932709786886416e+00,7.290182074228411833e-06,1.329680423098447399e-05,9.869714195958074504e-09,1.947842998622805379e-08,5.007143772183617625e-09,2.829632722714751346e-09,-2.545937277100433160e+00
2.000200020002000298e-02,3.022350079158136538e+01,3.022306070492376051e+01,3.022350021263729403e+01,3.022350050623230899e+01,3.991971744389161358e+00,3.991865286518824885e+00,3.991971588601233023e+00,3.991971721889041369e+00,1.456107486156765902e-05,2.666799194811526541e-05,1.915542727304489437e-08,3.902530837156752537e-08,9.441297298794341684e-09,5.636342496915909993e-09,-2.545937277100451812e+00
3.000300030003000273e-02,3.033591155735662426e+01,3.033524987952405638e+01,3.033591073806190508e+01,3.033591117957720229e+01,3.988117161205494199e+00,3.987957182540525558e+00,3.988116929961346369e+00,3.988117130244525743e+00,2.181170100383598450e-05,4.011383279429127146e-05,2.700742048346521701e-08,5.798328847499777590e-08,1.245320818044275464e-08,7.763304638300719820e-09,-2.545937277100471796e+00
4.000400040004000596e-02,3.044876412947268918e+01,3.044787981055495507e+01,3.044876308367411255e+01,3.044876367384266302e+01,3.984369076122189934e+00,3.984155370797118234e+00,3.984368769255087539e+00,3.984369036770932127e+00,2.904285093391146928e-05,5.363592603717579868e-05,3.434617484570719959e-08,7.701774020744548090e-08,1.496382658472668753e-08,9.876408800499542487e-09,-2.545937277100491336e+00
5.000500050005000918e-02,3.056205939305110775e+01,3.056095165108611766e+01,3.056205840169194232e+01,3.056205914123467693e+01,3.980727581465739906e+00,3.980459954033887637e+00,3.980727216438035398e+00,3.980727551426180177e+00,3.624565840749430608e-05,6.723078290972270700e-05,3.243757734633453023e-08,9.169874025218252945e-08,8.239511205051950361e-09,7.546248547236102568e-09,-2.545937277100511320e+00
6.000600060006000547e-02,3.067579879299096390e+01,3.067446655149369406e+01,3.067579784148780320e+01,3.067579873111329292e+01,3.977192815402643244e+00,3.976871043028707309e+00,3.977192389568070752e+00,3.977192792270574984e+00,4.342972472404691521e-05,8.090439384527554868e-05,3.101804021885766966e-08,1.070691294733415015e-07,2.017149460545603247e-09,5.816179736444678620e-09,-2.545937277100531748e+00
7.000700070007001563e-02,3.078998363418658002e+01,3.078842565933600284e+01,3.078998254946107593e+01,3.078998358986520856e+01,3.973764910525589222e+00,3.973388756653821297e+00,3.973764414868719008e+00,3.973764885530151947e+00,5.060005452056619285e-05,9.465931685379292131e-05,3.522981749432938395e-08,1.247323083711502105e-07,1.439473693406218601e-09,6.290114749695952984e-09,-2.545937277100551732e+00
8.000800080008001192e-02,3.090461490113659693e+01,3.090283011922705825e+01,3.090461366890849959e+01,3.090461486077415643e+01,3.970444000369202975e+00,3.970013221938906600e+00,3.970443426793798025e+00,3.970443965661324626e+00,5.775130721570776474e-05,1.084962866259585763e-04,3.987197709074691176e-08,1.444612755894017658e-07,1.306032792516712427e-09,8.741560980563117239e-09,-2.545937277100572160e+00
9.000900090009000820e-02,3.101969372097301658e+01,3.101768107270792996e+01,3.101969233989231967e+01,3.101969368388904513e+01,3.967230218048779733e+00,3.966744574135432799e+00,3.967229568093388004e+00,3.967230175416855520e+00,6.488291867710591131e-05,1.224138471061026660e-04,4.452270577972662034e-08,1.638310246711815363e-07,1.195497666184852990e-09,1.074601721349623712e-08,-2.545937277100593032e+00
